SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"2",,"11317872",,"REAC","Falla mayor (Equipo no operativo)","Transmision","perdida por cuadro de caja","1/22/2022 9:20 PM","FdP-1281","Base Añelo","No"
"2",,"11568617",,"REAC","Falla mayor (Equipo no operativo)","Radiador Horizontal","caño pinchado de refrigeracion","1/23/2022 10:42 AM","FdP-1281","Base Añelo","No"
"3",,"12506558",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Transmicion rota.","1/23/2022 6:30 PM","RDMN-28","Base Añelo","No"
"3",,"12622242",,"REAC","Falla menor (Equipo puede operar)","Fluid-End","Fluid end tiene 2 esparragos cortados.","1/23/2022 7:40 PM","RDMN-28","Base Añelo","No"
"3",,"12622242",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","esparragos cortados ","1/23/2022 8:57 PM","RDMN-28","Base Añelo","No"
"2",,"13057726",,"REAC","Falla mayor (Equipo no operativo)","Transmision","no encastra y no gira cardan","1/24/2022 4:04 PM","FdP-1281","Base Añelo","No"
"2",,"13038517",,"MOV","Prestamo a otra PSL sin falla","N/A","se devuelve al set 1","1/24/2022 9:01 PM","FdP-1281","Base Añelo","No"
"2",,"11720335",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","deformacion del alojamiento del asiento inferior del piston 2","1/25/2022 10:58 AM","FdP-1281","Base Añelo","No"
"3",,"11326934",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura en FE piston °2","1/25/2022 12:59 PM","RDMN-28","Base Añelo","No"
"3",,"12999800",,"REAC","Falla menor (Equipo puede operar)","Fluid-End","Esparrago cortado.","1/25/2022 2:21 PM","RDMN-28","Base Añelo","No"
"3",,"12129760",,"PRED","Predictivo (SKF)","Reductora","Alerta SKF en reductor power end","1/25/2022 5:15 PM","RDMN-28","Base Añelo","No"
"2",,"12999791",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura piston 3","1/26/2022 1:38 AM","FdP-1281","Base Añelo","No"
"2",,"11691523",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura en piston 1","1/26/2022 4:51 PM","FdP-1281","Base Añelo","No"
"3",,"11542685",,"REAC","Falla menor (Equipo puede operar)","Power-End","Perdida de aceite en manguera de power end","1/26/2022 6:12 PM","RDMN-28","Base Añelo","No"
"3",,"11451139",,"PREV","PM / Service","N/A","Prueba software","1/27/2022 4:06 AM","RDMN-28","Base Añelo","No"
"3",,"11410827",,"MOV","DTM sin falla","N/A","Prueba software","1/27/2022 4:09 AM","RDMN-28","Base Añelo","No"
"3",,"11647244",,"REAC","Falla mayor (Equipo no operativo)","Radiador Horizontal","Palteas del radiador dobladas","1/27/2022 7:45 PM","RDMN-28","Base Añelo","No"
